Primary Type,District,arrest_rate,total_cases
PUBLIC PEACE VIOLATION,18,0.514,788
PUBLIC PEACE VIOLATION,19,0.5634,662
PUBLIC PEACE VIOLATION,20,0.536,222
PUBLIC PEACE VIOLATION,22,0.6357,442
PUBLIC PEACE VIOLATION,24,0.5897,312
PUBLIC PEACE VIOLATION,25,0.6184,828
RITUALISM,11,0.0,1
ROBBERY,1,0.1663,4786
ROBBERY,2,0.0577,5688
ROBBERY,3,0.0534,6026
ROBBERY,4,0.0613,5956
ROBBERY,5,0.0633,4109
ROBBERY,6,0.0539,7785
ROBBERY,7,0.0656,6004
ROBBERY,8,0.0851,6718
ROBBERY,9,0.0989,6076
ROBBERY,10,0.0794,5985
ROBBERY,11,0.0565,9491
ROBBERY,12,0.0795,6677
ROBBERY,14,0.0773,4267
ROBBERY,15,0.0707,5401
ROBBERY,16,0.124,1581
ROBBERY,17,0.0921,2714
ROBBERY,18,0.1078,4647
ROBBERY,19,0.1152,4454
ROBBERY,20,0.1295,1374
ROBBERY,22,0.0919,2806
ROBBERY,24,0.1251,3086
ROBBERY,25,0.065,6046
ROBBERY,31,0.0,1
SEX OFFENSE,1,0.209,713
SEX OFFENSE,2,0.1113,548
SEX OFFENSE,3,0.1157,562
SEX OFFENSE,4,0.1537,683
SEX OFFENSE,5,0.1127,497
SEX OFFENSE,6,0.1192,604
SEX OFFENSE,7,0.1192,562
SEX OFFENSE,8,0.1323,1028
SEX OFFENSE,9,0.1444,755
SEX OFFENSE,10,0.133,684
SEX OFFENSE,11,0.126,627
SEX OFFENSE,12,0.1157,769
SEX OFFENSE,14,0.125,560
SEX OFFENSE,15,0.1008,476
SEX OFFENSE,16,0.1452,620
SEX OFFENSE,17,0.1366,571
SEX OFFENSE,18,0.1304,713
SEX OFFENSE,19,0.1651,763
SEX OFFENSE,20,0.1527,393
SEX OFFENSE,22,0.1327,422
SEX OFFENSE,24,0.128,656
SEX OFFENSE,25,0.1696,920
SEX OFFENSE,31,0.25,4
STALKING,1,0.1006,179
STALKING,2,0.0988,253
STALKING,3,0.0303,198
STALKING,4,0.115,200
STALKING,5,0.0886,158
STALKING,6,0.0426,258
STALKING,7,0.071,155
STALKING,8,0.063,238
STALKING,9,0.0888,169
STALKING,10,0.0903,144
